Total Household Income,Total Food Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,Fashion Spendings,Housing Expenditure,Medical Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Farming and Gardening expenses,Miscellaneous and Special Occasions Expenditure,Sex,Age,Marital Status,Total Number of Family members,Savings
120010,71929.5,3820,0,3370,3390,4020,500,6600,1092,1000,0,6018,1,52,1,5,18270.5
127570,70828.5,6650,0,2280,2389,3420,475,6198,1080,900,0,4458,1,35,1,6,28891.5
267680,81284.5,7600,0,5180,2910,3840,453,4800,1530,3600,58340,14124,1,41,1,7,84018.5
181890,51630.5,2700,0,2080,2050,3720,705,6180,1680,1300,86600,8028,1,35,1,4,15216.5
194300,54126.0,0,0,6740,2550,3360,635,4800,1560,0,92075,8574,1,46,1,4,19880.0
202310,65713.5,6530,0,3120,4020,4620,295,12642,1380,1450,72590,7490,1,46,1,5,22459.5
191160,56610.5,3100,0,2210,1947,3840,452,4200,1980,200,91170,9578,1,41,1,7,15872.5
107850,64101.0,5790,0,3640,3510,3480,435,3798,1500,800,0,4776,1,37,1,5,16020.0
176600,53014.0,0,0,2850,1280,4020,450,5520,720,0,77300,5172,1,64,1,3,26274.0
219370,68870.5,4250,0,8020,3352,5400,1473,4800,1380,100,101540,7544,1,48,1,8,12640.5
98450,49114.0,0,0,8300,1632,3240,1076,3600,1530,0,0,8932,1,28,1,3,21026.0
337464,101710.5,37290,0,5985,5570,13950,224,40428,4158,0,0,13444,1,59,1,5,114704.5
404250,165430.0,34770,11031,8145,12495,40980,30244,20082,5718,1850,0,25990,1,30,1,5,47515.0
184162,123310.0,26552,108,1878,3870,19176,534,9936,2160,13390,0,9324,1,54,1,4,-26076.0
1411792,198971.5,21000,5670,0,4450,36420,81410,50448,19416,351700,0,17040,1,67,1,3,625266.5
163053,66304.0,6440,4239,16600,1400,14670,174,2028,6738,0,0,6560,0,80,2,4,37900.0
415341,117976.5,41296,0,0,13390,17634,1150,20934,16392,24100,0,20848,1,53,1,4,141620.5
471210,178678.5,12100,6335,996,5876,28560,35364,94776,7728,0,0,34898,1,55,1,3,65898.5
213910,159388.0,9300,0,0,3200,13320,21898,6102,4122,2475,0,13454,1,71,1,6,-19349.0
205508,130073.5,10250,480,0,3601,9222,24450,7278,492,710,0,25256,1,26,1,6,-6304.5
250305,120494.5,13085,2652,7421,3610,7842,1497,4680,1170,0,0,11416,1,50,1,4,76437.5
595492,119339.0,3000,540,0,8700,48528,59822,56802,9060,0,174030,54242,1,83,1,2,61429.0
1541760,124965.0,28000,210,0,12325,41220,50,61524,24198,60000,0,70416,1,54,1,5,1118852.0
650805,145222.0,69370,2340,0,7900,33300,6084,23190,15072,50000,0,32986,1,62,1,4,265341.0
330156,171898.5,25860,336,1040,4670,35976,5090,16698,6366,1060,0,19366,1,48,1,4,41795.5
1222260,189937.5,43000,0,0,13640,32460,3391,95700,16890,337150,0,50518,0,55,1,5,439573.5
202687,93603.5,13900,2470,2263,6965,12240,2069,15612,2862,23470,0,11766,0,68,3,6,15466.5
851961,177980.5,61600,15790,14480,7250,20478,4132,51390,3900,6600,0,39796,1,61,2,6,448564.5
443065,121798.5,15700,0,0,7220,31602,1232,174564,43818,2245,0,43410,1,51,1,6,1475.5
225008,82735.5,1000,0,9412,1430,15966,41265,1824,1302,0,32300,10338,1,54,1,2,27435.5
213511,71144.5,825,0,0,4360,19332,3528,5532,5856,2000,0,16858,1,42,1,3,84075.5
327844,37096.0,8465,0,0,1600,9408,9851,3702,0,1955,70400,4490,0,73,2,2,180877.0
165838,65937.5,6550,840,1629,380,6606,410,4122,642,1340,48270,13634,0,81,2,3,15477.5
188866,107816.0,4850,720,0,3450,18192,5210,810,2712,303,0,20886,1,38,1,5,23917.0
415100,102443.5,4200,0,15385,2650,15006,182,10506,1452,500,0,8294,1,25,1,3,254481.5
377651,123432.0,0,2470,8958,2650,21420,29512,2010,2400,0,54200,16648,1,63,1,10,113951.0
189213,46002.0,0,0,0,1460,14160,426,21840,780,0,0,11906,0,58,2,4,92639.0
636760,124762.0,54160,250,0,4720,17154,75,48006,14694,20955,12000,64002,1,55,1,5,275982.0
1031266,152429.5,4250,1140,0,13350,32412,3682,5886,2862,3390,131495,21820,1,52,1,7,658549.5
109447,57210.5,850,0,10154,300,18726,13515,3432,540,1005,0,17878,1,27,1,4,-14163.5
244375,72607.0,0,720,14480,8606,12102,10,4200,642,0,20650,39426,1,50,0,2,70932.0
287900,63476.5,5300,0,0,4100,50070,9430,3408,3882,500,0,13056,0,26,1,2,134677.5
413479,111339.0,26452,480,0,7920,37662,1430,13458,13404,24395,82025,30744,1,46,1,4,64170.0
1480285,201565.5,44150,324,0,6420,86934,32571,48942,15000,37800,372750,87100,1,68,1,8,546728.5
1198920,188872.0,43050,0,0,21360,50280,47496,67620,35598,0,0,95760,1,56,1,5,648884.0
296230,97683.5,19380,7335,7240,3270,17388,6171,10680,6504,355,0,15838,1,62,1,4,104385.5
320475,211407.0,45260,0,0,5460,47100,1760,95214,5100,33000,0,40340,1,66,1,6,-164166.0
411360,163748.5,28000,0,0,9200,36480,39560,36786,20820,3950,0,48554,1,51,1,4,24261.5
1145410,228783.5,75680,95,0,13960,27960,50994,53316,23100,4300,0,82074,1,58,1,6,585147.5
1743278,296899.5,163280,0,0,23300,36510,21458,46002,21000,0,0,147378,1,59,1,6,987450.5
240000,93207.5,6000,4680,7783,3000,88500,0,25998,21600,0,0,6564,1,31,0,2,-17332.5
327592,221330.5,35670,815,9231,5900,28080,1998,31602,8958,930,0,25130,0,53,0,7,-42052.5
174760,78675.5,14770,1235,5430,1600,14418,25,2100,2484,1250,51300,10280,1,53,1,3,-8807.5
163555,28861.5,24130,0,0,600,14028,2120,2802,0,0,0,2568,1,72,1,1,88445.5
438485,269661.0,70970,15860,5973,7650,77160,3050,26004,6180,2800,0,38944,1,36,1,4,-85767.0
609877,111776.0,12000,0,0,3560,21828,115500,732,3798,0,0,51362,0,88,2,3,289321.0
321298,171601.0,26400,95,0,5390,24900,70074,18516,4290,5020,0,34090,0,69,2,9,-39078.0
420400,162308.5,36340,190,543,5500,12282,8248,12762,4380,14510,0,31924,0,45,1,3,131412.5
1569758,168780.5,21650,570,8869,8310,69480,4325,226002,5412,33000,0,57004,0,49,0,6,966355.5
100885,87841.0,520,0,0,3540,8100,820,17082,834,200,0,7192,1,43,1,4,-25244.0
669340,340952.0,34506,5660,0,18523,64128,13405,13920,4158,4590,0,49876,0,72,2,5,119622.0
326090,105680.0,22005,0,0,10793,30522,9166,3018,3600,26300,0,29002,0,69,2,5,86004.0
192450,107817.5,2300,0,0,8245,39840,44442,2580,2802,0,0,13486,1,69,1,3,-29062.5
92470,61041.5,3720,4680,2080,1350,6900,385,2160,1380,0,0,3634,1,37,1,1,5139.5
251220,136706.5,22850,3770,13575,8300,17400,325,11598,8622,960,3670,14108,1,46,1,6,9335.5
109897,45472.0,13590,0,7240,2555,7290,4340,5430,0,0,0,2082,1,64,0,1,21898.0
841615,108788.0,58880,986,16471,2090,33120,5940,9384,4656,17820,0,12772,1,42,1,6,570708.0
325784,143057.5,38978,0,9231,5355,23628,1558,38322,3642,2000,0,30581,1,58,1,7,29431.5
88148,27004.0,50810,0,0,185,2430,4960,120,0,0,0,1518,0,76,2,1,1121.0
917377,199552.0,24250,0,0,1470,34302,22597,35880,25602,32000,0,43026,1,59,1,8,498698.0
139486,53668.0,6320,1092,4525,11135,8376,544,1074,378,425,0,4496,1,28,1,4,47453.0
1311429,209690.5,64240,2536,11960,17180,50904,41022,31140,30798,10000,0,63507,1,68,2,8,778451.5
347948,146416.5,35080,3646,12670,7929,18498,5494,36012,4416,560,0,17562,1,51,1,9,59664.5
196410,112853.0,25445,0,3801,3500,14754,26694,10872,594,1200,0,9920,1,68,1,7,-13223.0
130336,63594.0,12800,235,2444,3015,9930,3646,5688,648,1870,0,8444,1,32,1,5,18022.0
195351,76651.0,13885,1370,0,4425,12126,140,372,1830,910,0,7270,1,53,1,5,76372.0
255684,101247.0,15350,0,0,8050,11652,5514,8850,17136,2855,0,36054,0,46,1,4,48976.0
459559,156429.5,45850,0,0,29028,19410,480,18762,7098,44195,0,22612,0,38,1,5,115694.5
543606,92612.0,40800,0,0,2070,43920,5022,64764,30600,200,0,46168,0,49,1,5,217450.0
635443,192898.0,25740,4615,0,11105,25728,13266,33930,6360,0,0,35366,1,61,1,8,286435.0
161587,107221.0,11300,17914,16560,7168,28860,5402,5970,6108,0,0,30678,1,31,1,4,-75594.0
384740,110504.5,12345,260,0,16775,22980,14369,3462,2580,0,0,70722,1,66,1,2,130742.5
695291,264398.0,2300,0,0,30600,34140,35501,9384,14994,48500,0,34730,1,58,1,6,220744.0
696156,73073.0,0,1830,4978,3245,17922,30,2502,4110,0,0,10270,1,49,1,3,578196.0
222136,90687.5,28920,720,8263,6760,13182,0,2040,180,50,0,10480,1,45,1,7,60853.5
84390,62119.5,520,0,0,970,9822,10866,1560,360,0,0,5944,0,75,2,4,-7771.5
171906,71564.5,3630,0,0,4975,11238,13766,1302,390,0,0,3924,0,60,3,1,61116.5
438006,232456.0,41650,0,4706,12736,24960,7677,31080,7800,4410,0,64404,1,64,1,9,6127.0
134618,89516.5,780,0,0,1500,38412,1810,9720,180,620,0,11448,1,67,1,6,-19368.5
258944,147205.0,700,0,0,4622,14202,535,18618,1896,1310,0,9756,1,54,1,6,60100.0
445430,139429.5,14800,0,1448,5785,29298,721,39222,5280,0,0,48038,1,60,1,7,161408.5
270940,79498.0,25130,0,0,17020,18654,4725,7458,15900,21290,0,17740,0,41,1,4,63525.0
203482,116887.0,0,0,1810,2220,14160,311,1038,1692,0,0,15766,1,49,1,10,49598.0
721938,205928.0,44200,0,0,10759,29400,39433,36162,11802,0,0,32358,1,56,1,6,311896.0
124314,32496.5,1200,0,0,1980,6678,570,1302,0,0,0,2270,0,90,2,1,77817.5
550343,181321.5,35700,240,0,24800,30540,9158,60000,11394,57100,0,59148,1,41,1,6,80941.5
506196,124568.0,6354,3744,0,27200,35778,56617,28848,3702,23110,0,44154,1,39,1,4,152121.0
1976828,221945.5,54750,27300,10860,59185,26652,14464,73830,10374,52300,0,81660,1,45,1,5,1343507.5
153772,20171.5,18200,0,1086,2980,8484,1500,3600,0,0,0,4058,1,65,2,1,93692.5
127580,95211.0,20570,1625,0,3756,11262,290,23226,2832,460,0,5712,1,39,3,4,-37364.0
248783,162101.5,37310,1820,9640,5740,19500,2054,11832,2862,2140,0,30680,1,47,1,4,-36896.5
403686,94808.5,2630,1828,2444,7090,5484,24318,9114,1494,2500,0,41163,1,41,1,4,210812.5
275194,118480.0,24250,0,0,935,17040,11693,25062,1818,910,0,19438,1,52,1,11,55568.0
289732,130882.5,21555,138,0,16915,16980,1012,11082,19146,37150,0,12948,1,16,0,3,21923.5
521787,153950.0,7061,0,0,11890,35130,8186,12024,22200,9550,0,32250,0,70,2,9,229546.0
574254,224982.5,58200,0,5216,11760,25920,4168,38784,12738,18500,0,29730,1,51,1,8,144255.5
3645800,156717.5,38350,0,0,113900,113220,25862,78000,60204,669400,0,91912,0,45,1,3,2298234.5
234771,134066.5,23090,105,180,7800,14220,3272,10356,2568,750,0,19950,1,42,1,8,18413.5
512335,139715.0,50590,420,13032,16140,21060,18250,32310,15840,53200,0,32442,1,54,1,8,119336.0
156020,66623.5,1200,0,0,2865,8976,1063,7704,1302,760,0,6144,1,30,3,2,59382.5
423985,89399.5,14280,540,0,1250,24528,10910,17556,8928,15000,0,24318,1,64,1,4,217275.5
460068,57039.0,25090,0,1810,10380,17208,3253,97236,5178,0,0,12370,1,78,2,3,230504.0
841884,114232.0,28770,0,0,24944,48330,10794,11916,6360,8355,0,28346,1,55,1,4,559837.0
936019,142495.5,38090,275,0,18350,42306,71594,84540,59388,221800,0,36102,0,80,2,5,221078.5
324046,110081.5,35610,0,2715,6045,17502,1740,15678,12372,26300,0,16932,0,58,2,6,79070.5
335330,136836.0,34310,1800,0,18340,22464,700,10134,18894,7980,0,32092,1,48,1,4,51780.0
217080,124518.0,5430,0,0,5348,14520,8814,2136,888,0,0,27746,1,82,2,2,27680.0
198530,139984.0,25770,120,15566,6245,13620,1171,14160,9624,0,0,18399,1,33,1,3,-46129.0
455581,194836.5,46850,0,0,1770,21180,603,20550,7002,9195,0,66680,1,43,1,6,86914.5
907664,82974.0,29400,0,0,18090,25560,6026,23532,15600,158680,0,41458,0,41,1,4,506344.0
134068,76185.5,16330,720,3648,1445,9900,1440,10158,1560,0,0,15284,1,28,0,3,-2602.5
354636,73537.0,13270,1230,720,5958,10398,2666,5088,3636,11600,0,19502,1,53,1,4,207031.0
491420,158213.5,7580,13070,10860,2980,36198,4341,20112,10668,82450,0,38822,0,77,2,10,106125.5
1002484,163638.0,39800,0,6968,13280,28938,69882,13134,11100,0,0,257908,0,42,1,2,397836.0
616014,242308.5,41780,8390,0,14345,33120,25593,30486,19782,1900,60550,48966,0,75,2,7,88793.5
434112,136282.5,26920,9324,2625,140,12420,49890,20916,4158,0,0,19182,1,50,1,9,152254.5
310082,98304.5,36650,3528,0,3875,19530,2716,9246,7410,270,0,17256,1,42,1,6,111296.5
506415,146734.0,26350,0,0,20560,13320,360,21480,19632,13745,0,19491,0,42,1,3,224743.0
280148,148326.5,48620,0,0,19210,33738,23689,28602,8580,2310,0,27589,1,36,1,6,-60516.5
1130568,170901.5,83890,0,18462,32970,72240,55341,57294,21600,15758,0,68100,1,32,1,6,534011.5
197948,130621.0,23740,0,9955,12011,14550,2403,4218,3768,1020,0,12064,1,41,1,5,-16402.0
261144,129961.0,600,0,0,10075,12360,170,14586,5730,0,0,37886,0,82,2,3,49776.0
465836,104214.5,16330,1500,16743,16820,23220,1233,7536,3120,3780,0,32416,1,23,0,2,238923.5
442969,119938.5,27450,1440,10408,1620,15174,110,22800,5700,21650,0,17346,1,40,1,5,199332.5
286991,180159.0,34860,2160,11946,8309,30438,2000,11994,9018,400,0,38946,1,47,1,5,-43239.0
1348623,203344.0,65860,5817,15566,26450,48186,42101,88434,48198,0,138820,197790,1,56,1,3,468057.0
464852,192302.5,17420,4056,17720,9405,17370,4618,43812,10002,0,0,66487,1,52,1,6,81659.5
440681,164264.5,24450,1980,4820,14960,18600,210,17970,7968,40355,0,37586,1,58,1,4,107517.5
176480,74137.0,16380,0,0,1565,7800,210,12576,2838,510,0,15272,0,79,2,6,45192.0
2081530,213070.0,70320,16770,33666,24580,56280,6861,45864,22680,28516,349235,76574,1,69,1,10,1137114.0
165326,84255.0,10295,1820,13072,3700,16290,135,11232,1560,1045,0,9272,1,40,1,6,12650.0
284183,77403.5,1800,0,0,7400,30804,8650,3048,8994,0,0,14646,0,53,0,2,131437.5
777868,135850.5,43200,210,10860,4964,34530,807,14646,17472,12700,0,26132,0,69,2,3,476496.5
253679,163149.0,18620,2850,19910,1230,26256,6760,15588,2988,500,0,27182,1,60,1,8,-31354.0
59720,18562.5,11070,0,0,2800,6150,3620,1200,0,0,0,752,0,87,2,1,15565.5
114830,57349.5,0,0,5430,1090,6702,19360,486,180,0,23080,3054,1,67,1,2,-1901.5
141168,46537.5,780,0,5430,1240,6498,80,0,1170,0,48000,3058,1,56,2,1,28374.5
561400,146713.5,66535,0,0,46710,36318,1629,82698,14022,59760,0,58630,0,42,1,3,48384.5
219548,59624.5,12090,0,9955,2380,8868,18801,19344,804,0,51000,8510,1,58,1,3,28171.5
393900,91959.5,31030,5950,25340,3820,16722,1098,19596,5070,800,0,17120,1,54,2,3,175394.5
179238,44217.5,23920,5590,3620,1370,6648,75,23556,900,0,0,16922,1,39,1,1,52419.5
277441,96546.5,9905,1020,5430,1790,31182,2363,18642,756,0,0,21762,1,55,1,8,88044.5
227194,137446.0,19880,8368,0,4680,50700,18496,15390,3954,0,0,30128,1,21,1,4,-61848.0
268772,121374.0,20500,0,7240,950,15780,29385,20766,3768,0,0,28785,0,67,2,7,20224.0
231458,80906.0,25980,0,0,3310,32340,168,28080,1224,0,0,17172,1,34,1,2,42278.0
183748,102088.0,22695,0,0,2979,11082,16168,24840,2340,16600,0,6654,1,59,1,4,-21698.0
721230,194824.5,64940,0,0,26150,42840,14392,39324,25722,0,0,71282,1,70,1,5,241755.5
197586,70856.5,5540,0,1810,3700,14490,8333,7368,1302,0,0,19624,1,72,1,5,64562.5
259269,92161.5,12200,0,0,4203,20022,352744,12852,2082,370,0,71256,1,84,2,4,-308621.5
360050,60882.5,45396,0,0,4905,100020,1695,9678,10398,0,0,27014,0,43,1,1,100061.5
713884,247200.0,55304,13226,21268,54180,50760,2741,65328,20802,13080,0,63790,1,60,2,9,106205.0
564528,98499.0,12100,2312,27150,3001,32184,92424,32202,3990,0,0,26310,1,67,1,7,234356.0
374361,158665.0,10000,0,0,11807,120828,6926,1824,16500,0,0,24544,0,50,1,5,23267.0
116395,64800.5,14980,0,7964,4170,35586,48,5718,960,0,0,15128,0,26,0,1,-32959.5
231370,61647.0,24420,0,1810,4240,17820,150,13080,3900,0,0,12372,1,21,0,2,91931.0
229772,125331.0,24700,910,6516,2180,23400,140,7542,2400,2040,0,17106,1,31,1,5,17507.0
108320,28401.0,36320,0,9955,2550,11448,0,480,0,0,0,1932,0,69,0,1,17234.0
285760,98514.0,12080,0,4525,4480,14820,0,4800,3300,0,0,11464,1,40,1,3,131777.0
226848,68823.5,26320,0,0,10635,22050,0,12480,3120,0,0,21612,0,21,0,2,61807.5
372098,86092.0,15710,0,0,1975,31020,420,28608,1818,700,0,6990,1,52,1,4,198765.0
236208,112445.0,20370,0,0,4010,26130,600,11652,5460,1300,0,17648,0,40,1,5,36593.0
518000,153928.0,46600,0,0,40520,37980,3258,71070,19794,32300,0,41578,0,46,1,4,70972.0
113356,46793.0,34150,0,8145,8200,29832,85,6240,3000,0,0,10000,1,33,0,1,-33089.0
318428,124720.0,51330,1380,5430,4420,44100,182,11682,2220,0,0,20710,1,60,1,4,52254.0
238100,133577.0,28380,910,0,27430,47118,690,14580,6900,3200,0,26982,1,37,1,4,-51667.0
207868,49913.0,22050,0,0,2000,25608,210,11910,1692,7740,0,16776,0,58,0,1,69969.0
232376,70038.5,14022,0,3439,780,18312,33,11232,750,0,0,16782,1,24,1,2,96987.5
344134,108791.5,40690,720,1810,3950,12750,150,19146,3378,7300,0,16238,1,45,3,4,129210.5
92288,34656.5,16120,7240,7240,920,6900,90,2016,390,0,0,2508,1,48,3,1,14207.5
545360,156456.0,29300,0,5835,8985,24942,3764,29886,5070,11800,0,45884,1,34,1,6,223438.0
249819,91005.5,49870,3206,3620,3290,16950,150,11262,3708,1000,0,9026,1,55,2,2,56731.5
487432,160417.0,71940,228,4525,8228,40938,251,31884,6402,0,0,34490,1,63,1,6,128129.0
372796,140530.5,31735,1040,12670,2825,23022,0,19578,1770,300,0,31408,0,74,2,12,107917.5
573391,112043.0,20220,5638,0,10640,38970,36920,16086,11502,0,0,20926,1,60,1,3,300446.0
200436,66316.0,16735,480,4525,5200,19986,9422,10374,3120,7000,0,15396,0,39,1,2,41882.0
154888,49844.0,15860,0,0,4508,17058,200,12396,2082,0,0,10376,0,21,0,1,42564.0
158262,75897.5,12840,1040,7059,1530,19542,25,9906,1170,850,0,7908,1,51,1,4,20494.5
1439900,192443.0,56900,0,0,101190,24318,21815,22902,6300,16910,0,66654,0,58,2,2,930468.0
407890,87523.5,21460,0,6335,1140,10488,8692,57006,7482,1000,0,21016,1,60,2,1,185747.5
350797,65009.5,14430,2290,0,14200,18582,824,17982,2100,0,12000,11240,1,61,1,2,192139.5
345920,104296.5,10500,2232,9593,14780,18810,133,23520,9882,1000,0,20792,1,76,2,3,130381.5
330838,136790.0,11900,3954,14842,1840,14862,456,5034,780,700,0,12874,0,57,2,6,126806.0
494610,112326.0,25380,0,0,4100,17124,7866,35844,5736,0,50450,18978,1,61,1,4,216806.0
317118,112286.5,16500,0,17850,9550,20808,3826,9600,6360,1200,133040,19542,1,40,1,4,-33444.5
1035906,143308.5,15350,684,0,10755,26010,15438,10698,3360,2250,0,16598,1,44,1,4,791454.5
252436,109168.5,31420,0,2534,4695,16218,1078,10026,1122,1770,0,21086,0,50,1,4,53318.5
307315,171198.5,16225,0,3620,3353,12342,1862,18276,2028,16650,0,17576,1,44,1,5,44184.5
201149,75616.0,300,220,0,6470,23082,2028,5826,1038,0,0,13142,1,56,1,3,73427.0
65293,38391.5,780,0,0,1100,5220,4570,1560,0,0,0,4590,1,79,1,2,9081.5
252964,93845.5,20550,612,18100,2500,20622,3106,18960,2916,2000,0,9832,1,53,1,3,59920.5
151796,79913.5,51630,38,0,6265,3420,58,15600,0,1300,0,5746,1,37,2,5,-12174.5
170980,64212.5,12450,0,0,2660,11370,8640,2760,2244,1150,0,10426,1,32,1,3,55067.5
233002,76413.0,13300,0,0,2220,14160,3790,10932,2370,13400,0,11792,1,43,1,3,84625.0
649029,169572.0,15207,5930,7760,9977,27300,2811,46596,12462,10000,0,36318,1,52,1,10,305096.0
275221,124546.5,19090,792,13575,2460,14916,1440,2802,3360,2250,0,11754,1,55,1,5,78235.5
159849,53750.0,19140,1560,4061,970,8190,90,5724,3390,0,0,2860,1,42,1,3,60114.0
79643,63964.5,5030,420,2955,1370,9372,360,5760,2316,0,0,5554,0,67,2,2,-17458.5
376168,107617.5,36450,0,0,11960,12378,1200,20082,1560,31700,0,12276,1,47,1,5,140944.5
372190,46720.0,6079,0,0,5030,12378,1950,19392,9978,102000,0,27532,0,49,1,3,141131.0
154130,47756.0,9700,1476,0,3530,16326,0,16632,5340,42400,0,11370,0,19,0,2,-400.0
200892,50992.5,10600,0,0,1890,20640,13717,18540,2340,0,0,4816,0,59,2,2,77356.5
237292,90348.0,29140,210,14480,5808,14490,211,13680,1980,1400,0,7244,1,38,1,6,58301.0
404550,157322.0,11400,5006,12670,3305,15294,11495,11970,3012,0,0,14536,1,62,1,7,158540.0
115520,97337.0,7125,720,6154,1780,21780,3572,1800,540,0,0,27326,1,34,1,3,-52614.0
191471,152671.0,34680,4237,4140,2630,13392,1197,8316,720,540,0,17064,1,38,1,8,-48116.0
411809,266994.5,39600,4075,1448,15742,29880,66035,23406,13464,940,0,35336,1,74,2,9,-85111.5
198162,108070.5,24740,1704,3801,4409,16794,13782,8346,3120,1565,0,15154,1,47,1,6,-3323.5
522806,144491.5,32660,1561,0,4490,25974,4242,63156,4380,9400,0,33384,1,49,1,5,199067.5
168363,134850.5,17920,760,0,4115,31986,356,12468,2520,195,0,18062,1,51,1,5,-54869.5
365690,77169.5,41860,0,0,5660,21612,241,30258,7914,21350,0,13708,0,21,0,4,145917.5
165493,94396.0,16150,120,0,2642,12096,19153,8100,570,1530,200,7966,1,43,1,6,2570.0
925130,154936.5,23000,2382,10860,10440,55458,25880,38358,23394,39700,0,33698,1,25,1,4,507023.5
10759712,327416.5,70350,840,16290,55615,143322,118580,262158,45594,70500,0,625560,1,69,1,9,9023486.5
187993,71053.0,14020,1255,10860,8390,9012,603,23220,2520,15390,0,10038,1,45,1,3,21632.0
238000,111661.5,24750,0,0,6050,11100,2070,20550,1380,0,0,20110,1,34,1,6,40328.5
188482,115214.0,200,19180,11765,2790,10692,1232,16242,4338,0,0,14400,0,60,2,3,-7571.0
340700,62674.5,10920,400,1114,2230,11148,35576,4488,2100,0,0,9076,1,81,1,4,200973.5
253555,64511.5,0,4036,0,5895,14898,2513,2142,1398,9981,5665,11290,1,52,1,5,131225.5
742124,109465.5,5200,0,0,11050,24000,5650,9318,4800,2400,470,95998,1,44,1,4,473772.5
497410,110235.5,0,0,31412,6250,12588,1780,13392,9000,49000,2320,18732,1,40,1,5,242700.5
242577,72264.5,0,1650,3380,1060,11472,90,2778,3780,1700,33095,6250,1,59,1,4,105057.5
721677,72835.5,0,975,0,6235,19404,239650,84042,720,27400,3990,19118,1,53,1,2,247307.5
276884,55180.5,0,0,0,930,11250,800,2400,1860,1300,35700,6488,1,51,1,3,160975.5
2306608,137295.0,0,1750,12670,10150,27162,1740,68754,49200,731000,11265,39414,1,61,1,3,1216208.0
824731,169448.0,0,150,0,18375,30774,3593,63036,6900,145955,81990,85174,1,52,1,15,219336.0
265936,35551.0,0,20242,0,10768,4854,3117,4488,3000,21250,0,3408,1,41,2,1,159258.0
203884,69327.0,0,100,0,3145,10488,500,3360,960,15680,19940,5646,1,50,1,4,74738.0
118410,74923.5,3880,240,2340,1280,7476,20,996,594,0,0,6312,1,41,1,5,20348.5
151380,78260.5,14850,0,1040,2455,8664,1132,9630,864,16057,0,7404,1,35,1,5,11023.5
282373,107238.0,7780,0,0,4465,10434,3440,14262,1224,12090,0,40598,1,46,1,5,80842.0
146190,72494.0,6360,510,1378,3000,9000,55,5442,834,1100,0,11750,1,40,1,6,34267.0
114880,72856.0,3492,1335,1690,3660,7248,126,972,480,450,19350,5866,1,39,1,6,-2645.0
58146,30995.0,1800,240,1810,1305,4404,754,1200,0,0,8910,9046,1,67,1,2,-2318.0
399892,125316.0,22400,180,9060,9950,15150,19240,15204,4200,0,0,45206,0,44,1,5,133986.0
68662,55456.0,4780,85,0,400,7878,695,1494,408,0,16125,4608,1,47,1,5,-23267.0
136078,59880.0,5710,1950,1040,1350,7944,600,15720,1650,1150,0,11574,0,29,1,4,27510.0
137765,76333.0,3870,735,0,2120,8286,156,7464,348,600,30325,5898,1,56,0,7,1630.0
174080,88797.5,1000,465,1040,3480,7806,470,3282,1476,0,0,25040,0,59,2,6,41223.5
89660,60075.5,2685,45,1560,1860,6432,369,6696,336,270,0,8754,1,29,1,6,577.5
69721,57265.0,5820,0,364,1075,4788,80,4548,780,810,0,4722,1,33,1,5,-10531.0
265910,75154.0,6500,222,4140,3440,14694,620,6432,1626,0,0,18730,0,63,2,2,134352.0
453184,91267.5,5150,0,1810,3350,11364,840,3366,924,910,0,6714,0,69,2,5,327488.5
407785,106840.5,15320,0,754,6595,20454,806,16806,5484,20100,0,47370,1,47,1,6,167255.5
112810,53278.0,3385,0,0,2420,6612,124,2604,504,300,0,4716,1,53,1,4,38867.0
141282,47421.5,16250,1800,0,3150,6168,1995,11394,1902,0,0,17792,0,76,2,3,33409.5
193333,68953.5,11030,0,1560,1760,8412,2636,9786,870,0,0,16286,0,75,2,6,72039.5
507330,134670.5,8290,0,0,14825,25878,2181,4566,4614,1700,0,63860,0,76,2,7,246745.5
130504,78087.0,7800,170,1740,2320,9012,3489,5832,1080,0,10150,6096,1,68,1,6,4728.0
393806,128152.5,5000,530,0,10560,22260,4424,3144,2874,0,0,64496,1,72,1,6,152365.5
264875,79354.0,6100,816,0,11000,16278,100,53586,6996,1360,0,63664,0,40,1,3,25621.0
373655,145578.0,2804,6480,1508,7700,12180,15070,29148,2040,8040,0,28156,1,46,1,10,114951.0
237911,70193.0,500,480,0,3140,7800,15378,552,540,0,0,6422,1,63,1,6,132906.0
501660,124408.0,54560,2664,2080,26637,17442,0,40908,4500,43050,0,60006,1,48,1,7,125405.0
239665,77356.5,1000,1716,2980,5609,16608,0,7320,1680,0,0,19102,1,64,1,3,106293.5
296360,83007.5,7360,1594,2886,3400,12222,1936,12864,3120,500,0,24572,1,68,1,6,142898.5
342498,83387.0,33950,1560,1768,7800,17814,0,20496,2160,61000,0,17690,1,75,1,3,94873.0
689440,134231.5,68670,2448,4030,12328,26940,3150,46392,4242,18700,0,46798,1,62,1,7,321510.5
460555,154635.5,11900,664,4530,4360,21102,9556,17124,16602,10000,0,43706,1,52,1,4,166375.5
151204,45619.5,3130,1040,0,4700,10212,6113,2820,0,900,0,5744,1,66,1,3,70925.5
287350,128270.0,51000,3120,2080,3910,9720,4150,41634,2280,0,0,25946,0,63,3,7,15240.0
132010,77356.0,5910,0,0,1675,9192,20000,14802,1500,1100,0,10496,0,45,2,5,-10021.0
