Date,Open,High,Low,Close,Adj Close,Volume
2008-05-06,457.25,475.5,437.450012,468.924988,390.030426,635876.0
2008-05-07,475.0,489.5,472.0,483.100006,401.820557,1279408.0
2008-05-08,483.0,485.5,459.575012,471.850006,392.46347,511224.0
2008-05-09,467.5,477.0,455.0,458.725006,381.546661,707278.0
2008-05-12,450.524994,467.0,450.524994,463.649994,385.643005,745396.0
2008-05-13,468.5,472.5,445.549988,452.850006,376.660065,320548.0
2008-05-14,450.0,489.950012,447.0,484.975006,403.380188,1703976.0
2008-05-15,487.850006,500.024994,477.5,492.725006,409.826263,1292368.0
2008-05-16,499.0,500.075012,484.25,488.075012,405.958649,816702.0
2008-05-20,488.075012,488.899994,474.274994,476.375,396.227142,567436.0
2008-05-21,476.375,484.0,468.524994,481.975006,400.88501,790854.0
2008-05-22,475.0,492.5,475.0,478.325012,397.84903,1140056.0
2008-05-23,482.5,489.350006,464.0,466.850006,388.304626,463590.0
2008-05-26,462.5,482.424988,460.600006,479.399994,398.743042,880294.0
2008-05-27,480.0,492.5,472.5,483.299988,401.987,820418.0
2008-05-28,487.5,507.950012,485.950012,504.850006,419.911285,945086.0
2008-05-29,507.5,513.375,494.0,497.674988,413.94342,853730.0
2008-05-30,497.674988,523.974976,488.649994,514.625,428.041626,1528642.0
2008-06-02,514.0,527.0,482.575012,492.325012,409.4935,569512.0
2008-06-03,485.0,495.0,471.024994,489.424988,407.081482,623780.0
2008-06-04,489.424988,489.424988,472.100006,479.049988,398.451965,651462.0
2008-06-05,479.049988,498.0,479.049988,491.375,408.7034,1021370.0
2008-06-06,497.0,498.899994,470.274994,479.799988,399.075836,738050.0
2008-06-09,470.0,482.5,445.5,457.825012,380.798096,643502.0
2008-06-10,454.5,457.825012,433.600006,440.024994,365.992767,544244.0
2008-06-11,447.0,454.975006,440.0,446.424988,371.315918,368224.0
2008-06-12,434.0,450.924988,429.0,444.25,369.506989,344802.0
2008-06-13,449.5,460.549988,441.5,453.825012,377.470978,914334.0
2008-06-16,460.0,463.975006,451.649994,455.274994,378.677094,1024278.0
2008-06-17,455.0,463.5,451.649994,460.700012,383.189331,626156.0
2008-06-18,462.5,462.5,445.5,450.25,378.606537,975748.0
2008-06-19,447.5,447.950012,439.125,442.975006,372.489197,482962.0
2008-06-20,447.5,450.0,421.024994,431.700012,363.00824,568150.0
2008-06-23,425.5,439.5,422.0,428.899994,360.653687,605162.0
2008-06-24,430.0,432.399994,411.575012,421.975006,354.830627,654610.0
2008-06-25,410.0,443.0,400.0,438.875,369.041504,537876.0
2008-06-26,442.5,444.950012,431.100006,438.424988,368.663116,525134.0
2008-06-27,432.5,436.0,425.0,432.600006,363.765076,776724.0
2008-06-30,432.450012,439.0,425.625,429.399994,361.074158,508142.0
2008-07-01,429.399994,439.450012,417.5,423.375,356.007813,435598.0
2008-07-02,419.0,444.0,419.0,438.975006,369.12558,434562.0
2008-07-03,437.0,439.0,410.5,427.450012,359.434418,520862.0
2008-07-04,422.549988,434.5,417.625,421.875,354.746552,244260.0
2008-07-07,425.0,431.975006,417.649994,426.0,358.21524,190910.0
2008-07-08,426.0,426.0,409.075012,413.350006,347.578033,550866.0
2008-07-09,424.875,444.5,424.875,437.825012,368.158539,410112.0
2008-07-10,442.5,445.0,426.5,434.5,365.362671,484624.0
2008-07-11,441.0,445.0,393.5,399.600006,336.01593,890220.0
2008-07-14,397.5,399.0,381.100006,384.475006,323.297668,623012.0
2008-07-15,380.0,392.5,369.5,374.850006,315.204163,723428.0
2008-07-16,379.5,384.5,359.549988,363.674988,305.807251,632172.0
2008-07-17,374.0,391.0,372.5,389.600006,327.607208,1429680.0
2008-07-18,395.0,400.850006,374.299988,397.475006,334.229065,1150604.0
2008-07-21,397.549988,409.200012,391.399994,406.725006,342.007263,496522.0
2008-07-22,407.0,420.975006,402.5,417.174988,350.794281,493612.0
2008-07-23,423.5,432.0,410.0,429.25,360.947998,851342.0
2008-07-24,432.0,432.0,396.0,401.375,337.508423,1517766.0
2008-07-25,397.549988,409.5,395.0,399.0,335.511353,906674.0
2008-07-28,399.5,408.5,398.5,403.024994,338.895905,258176.0
2008-07-29,400.0,406.125,395.5,404.125,339.820923,294754.0
2008-07-30,407.450012,421.5,402.0,419.299988,352.58136,635176.0
2008-07-31,420.5,420.5,410.524994,416.274994,352.559967,314132.0
2008-08-01,414.5,428.75,405.5,419.625,355.397339,627412.0
2008-08-04,419.625,419.975006,406.25,408.149994,345.678741,603106.0
2008-08-05,410.0,417.75,404.0,415.424988,351.840118,397024.0
2008-08-06,420.0,434.350006,418.5,429.225006,363.527893,648786.0
2008-08-07,430.0,435.0,422.5,425.700012,360.542511,688162.0
2008-08-08,425.0,427.0,416.5,421.274994,356.79483,263840.0
2008-08-11,430.0,430.0,412.5,416.799988,353.00473,494914.0
2008-08-12,419.0,420.950012,407.5,409.100006,346.483246,512952.0
2008-08-13,407.5,417.5,404.049988,414.024994,350.654419,381730.0
2008-08-14,417.5,421.25,405.024994,415.725006,352.09436,477770.0
2008-08-18,414.5,426.0,414.5,420.899994,356.477203,347446.0
2008-08-19,420.5,425.0,417.625,420.049988,355.757263,268422.0
2008-08-20,422.5,424.5,418.299988,419.975006,355.693726,206880.0
2008-08-21,417.5,421.5,407.5,408.875,346.292725,255766.0
2008-08-22,407.5,412.0,401.625,409.200012,346.568115,293742.0
2008-08-25,412.5,416.5,407.5,408.950012,346.356293,171468.0
2008-08-26,408.5,418.200012,407.5,416.174988,352.475433,272324.0
2008-08-27,417.75,420.0,406.5,409.274994,346.6315,311424.0
2008-08-28,410.0,412.5,391.25,396.799988,336.065918,439098.0
2008-08-29,407.0,409.75,400.100006,406.225006,344.04834,299904.0
2008-09-01,405.0,409.5,404.125,407.174988,344.852936,213092.0
2008-09-02,412.5,426.25,409.0,424.399994,359.441528,363594.0
2008-09-04,422.5,427.475006,417.100006,422.075012,357.472412,239148.0
2008-09-05,422.5,425.950012,407.5,419.075012,354.931458,317848.0
2008-09-08,430.0,437.5,422.674988,427.475006,362.045868,422098.0
2008-09-09,426.5,435.049988,420.075012,433.100006,366.809784,339066.0
2008-09-10,432.950012,434.799988,424.0,425.575012,360.436584,204244.0
2008-09-11,424.950012,425.5,415.0,418.049988,354.063446,256640.0
2008-09-12,417.5,422.5,401.450012,404.075012,342.227509,351306.0
2008-09-15,400.0,400.0,372.575012,380.899994,322.59964,878232.0
2008-09-16,375.0,375.475006,360.0,374.774994,317.412079,340946.0
2008-09-17,379.5,382.0,364.0,364.399994,308.625122,506906.0
2008-09-18,360.0,373.0,336.0,360.049988,304.940887,727306.0
2008-09-19,365.0,387.5,365.0,383.0,324.378174,1762102.0
2008-09-22,387.5,392.475006,377.0,383.0,324.378174,338512.0
2008-09-23,380.0,383.5,358.5,360.375,305.216095,316824.0
2008-09-24,367.350006,367.5,346.524994,356.725006,302.124725,534956.0
2008-09-25,357.5,359.5,337.5,345.100006,292.279114,791222.0
2008-09-26,342.5,347.5,333.100006,338.225006,286.45639,929238.0
2008-09-29,340.0,340.0,306.049988,309.825012,262.403381,779778.0
2008-09-30,287.5,337.0,287.5,331.375,280.654877,520236.0
2008-10-01,335.0,341.399994,322.5,335.5,284.148438,854290.0
2008-10-03,332.5,335.0,321.0,328.399994,278.135162,402692.0
2008-10-06,324.0,324.0,300.125,309.625,262.233887,522724.0
2008-10-07,311.0,333.0,283.5,287.899994,243.834122,620944.0
2008-10-08,283.0,283.0,255.0,273.299988,231.468719,854862.0
2008-10-10,256.0,275.0,245.0,261.5,221.47493,1196424.0
2008-10-13,268.0,301.125,264.5,294.5,249.423965,1959802.0
2008-10-14,298.625,310.0,291.5,296.075012,250.757858,865090.0
2008-10-15,290.0,293.725006,267.5,271.024994,229.542038,620504.0
2008-10-16,260.0,260.0,233.5,247.600006,209.702454,1625100.0
2008-10-17,252.0,258.0,222.5,227.074997,192.318954,1358742.0
2008-10-20,232.5,253.899994,229.125,248.574997,210.528183,1331702.0
2008-10-21,252.5,284.5,246.574997,280.549988,237.609116,2462926.0
2008-10-22,274.950012,278.0,255.074997,273.174988,231.362915,974194.0
2008-10-23,248.5,293.0,248.5,273.725006,231.828781,1566856.0
2008-10-24,262.5,268.424988,223.0,245.100006,207.585037,969156.0
2008-10-27,235.0,255.0,209.0,248.5,210.464645,1499472.0
2008-10-29,280.0,287.5,267.5,271.25,232.539856,1153566.0
2008-10-31,277.5,297.5,265.024994,268.725006,230.375229,1167066.0
2008-11-03,280.0,285.0,263.549988,274.350006,235.19754,722780.0
2008-11-04,276.975006,276.975006,245.899994,254.100006,217.837402,1590684.0
2008-11-05,260.0,274.450012,250.125,252.824997,216.74437,1426614.0
2008-11-06,245.5,260.424988,242.725006,250.100006,214.408218,1205064.0
2008-11-07,245.125,266.899994,242.550003,262.274994,224.845734,1043808.0
2008-11-10,269.450012,275.5,258.0,272.375,233.504364,582640.0
