Date,Open,High,Low,Close,Adj Close,Volume
2008-05-06,444.75,463.75,433.837006,455.075012,260.886139,1815804.0
2008-05-07,468.75,468.75,455.049988,460.799988,264.168121,2728436.0
2008-05-08,453.5,453.5,439.25,444.950012,255.081619,1611516.0
2008-05-09,433.837006,449.0,433.837006,437.625,250.88237,949816.0
2008-05-12,437.5,449.674988,424.5,443.125,254.03537,1934544.0
2008-05-13,447.5,453.25,429.75,436.799988,250.409393,1889772.0
2008-05-14,435.0,458.837006,430.875,456.575012,261.746033,1905796.0
2008-05-15,461.25,477.0,458.75,472.825012,271.061798,2223596.0
2008-05-16,476.25,479.600006,465.0,467.787994,268.174225,1668576.0
2008-05-20,461.424988,478.25,461.25,471.799988,270.474243,1460312.0
2008-05-21,470.0,471.25,463.75,467.812012,268.188019,709272.0
2008-05-22,465.0,474.638,461.774994,465.174988,266.676208,943060.0
2008-05-23,465.5,470.700012,454.5,456.600006,261.760345,670712.0
2008-05-26,453.75,473.475006,448.075012,471.600006,270.359528,1878608.0
2008-05-27,474.149994,474.75,467.25,469.638,269.234833,758696.0
2008-05-28,471.25,480.187988,467.513,478.162994,274.12207,1546268.0
2008-05-29,487.5,487.5,469.5,472.187988,287.055664,1296140.0
2008-05-30,468.75,492.975006,466.924988,489.388,297.512024,2556252.0
2008-06-02,489.0,504.25,484.774994,487.725006,296.501068,1131320.0
2008-06-03,482.5,487.5,470.5,480.638,292.192627,1206308.0
2008-06-04,478.75,478.75,463.5,467.524994,284.220917,1405672.0
2008-06-05,467.524994,497.475006,467.524994,494.924988,300.878113,1923176.0
2008-06-06,497.725006,502.5,494.024994,498.212006,302.876373,1397284.0
2008-06-09,484.763,491.25,472.475006,476.013,289.380981,1307104.0
2008-06-10,475.0,478.0,448.837006,462.274994,281.029236,1648044.0
2008-06-11,463.25,475.75,463.25,473.625,287.92926,736720.0
2008-06-12,468.5,471.5,457.5,469.388,285.353455,732796.0
2008-06-13,474.75,477.924988,463.513,465.912994,283.240906,1160408.0
2008-06-16,474.75,484.375,472.5,476.812012,289.86673,898664.0
2008-06-17,477.5,481.25,472.013,478.325012,290.78653,1079656.0
2008-06-18,475.5,480.25,464.024994,466.424988,283.552216,879576.0
