Date,Open,High,Low,Close,Adj Close,Volume
2008-05-06,73.333298,75.566704,72.849998,74.966698,53.261086,2956902.0
2008-05-07,75.0,76.583298,74.333298,75.650002,53.746544,2747460.0
2008-05-08,75.666702,75.666702,71.166702,71.683296,50.928337,3700923.0
2008-05-09,71.833298,73.333298,70.666702,72.766701,51.698067,2209971.0
2008-05-12,72.300003,74.933296,71.75,74.599998,53.000553,2523477.0
2008-05-13,74.916702,76.333298,73.449997,75.150002,53.391308,1634265.0
2008-05-14,75.0,76.166702,74.033302,75.550003,53.675495,2709717.0
2008-05-15,76.0,76.333298,74.666702,75.516701,53.651829,2807952.0
2008-05-16,75.666702,75.966698,74.266701,75.650002,53.746544,1117221.0
2008-05-20,75.949997,75.949997,74.5,75.300003,53.497883,1685088.0
2008-05-21,75.033302,77.466698,74.466698,76.150002,54.101776,2213322.0
2008-05-22,76.0,76.25,73.300003,74.349998,52.822933,4469199.0
2008-05-23,74.366699,75.233299,70.599998,71.199997,50.58498,2641329.0
2008-05-26,69.666702,70.333298,67.216698,68.566704,48.714123,6035448.0
2008-05-27,68.666702,71.816704,68.666702,69.699997,49.519279,4664670.0
2008-05-28,70.333298,74.466698,70.0,74.016701,52.586147,3968853.0
2008-05-29,74.333298,74.666702,71.133301,72.5,51.508579,1575063.0
2008-05-30,73.033302,73.483299,71.683296,72.550003,51.544106,1736043.0
2008-06-02,72.333298,74.533302,72.033302,73.283302,52.06509,1658838.0
2008-06-03,72.666702,73.666702,71.366699,73.150002,51.970387,1312434.0
2008-06-04,73.150002,73.633301,71.416702,72.033302,51.177017,1196889.0
2008-06-05,71.0,74.483299,71.0,74.116699,52.657185,1147020.0
2008-06-06,74.5,74.833298,70.466698,71.050003,50.478409,1393392.0
2008-06-09,69.333298,71.166702,68.333298,69.016701,49.033825,1664664.0
2008-06-10,69.0,69.333298,66.099998,67.183296,47.731255,4790676.0
2008-06-11,67.633301,67.633301,65.0,66.449997,47.210274,9920298.0
2008-06-12,65.666702,67.5,65.133301,66.650002,47.352375,3570333.0
2008-06-13,67.0,67.0,64.883301,65.816704,46.760342,1912719.0
2008-06-16,69.016701,69.016701,65.833298,67.150002,47.707603,2760003.0
2008-06-17,67.150002,68.266701,66.849998,67.666702,48.074696,780228.0
2008-06-18,68.683296,69.116699,67.516701,68.233299,48.477249,1944225.0
2008-06-19,67.5,68.633301,67.099998,68.083298,48.370674,1128774.0
2008-06-20,69.066704,69.066704,64.666702,66.233299,47.05632,4294962.0
2008-06-23,68.333298,68.333298,64.033302,65.133301,46.274811,2818044.0
2008-06-24,65.333298,65.333298,62.333302,63.6833,45.24464,2974413.0
2008-06-25,63.333302,63.333302,60.983299,62.116699,44.131626,2437053.0
2008-06-26,62.666698,64.5,62.0,63.783298,45.315685,2135394.0
2008-06-27,62.650002,62.866699,61.0,61.3167,43.563251,3082023.0
2008-06-30,60.666698,63.166698,60.633301,62.333302,44.285519,1853583.0
2008-07-01,62.233299,63.283298,59.6833,61.150002,43.444824,1484910.0
2008-07-02,61.0,61.966702,58.700001,59.866699,42.533085,3111597.0
2008-07-03,59.5,60.333302,56.0,56.450001,40.105644,2037123.0
2008-07-04,57.299999,59.3167,55.849998,56.9333,40.44902,3765741.0
2008-07-07,57.5,59.983299,57.5,59.200001,42.059422,1957917.0
2008-07-08,59.200001,59.200001,56.166698,57.283298,40.697674,1653780.0
2008-07-09,58.466702,61.8167,58.266701,61.166698,43.456688,1929741.0
2008-07-10,60.333302,61.133301,59.416698,59.733299,42.438305,714957.0
2008-07-11,60.0,60.5667,57.4333,58.150002,41.313435,935955.0
2008-07-14,58.5,59.5667,55.866699,56.233299,39.951691,1642815.0
2008-07-15,55.766701,55.833302,53.033298,53.4333,37.962391,2556528.0
2008-07-16,53.0,56.166698,52.5,54.099998,41.130173,3464574.0
2008-07-17,55.666698,56.666698,54.266701,55.8167,42.435314,1498122.0
2008-07-18,56.333302,59.5,55.099998,58.799999,44.703411,2519610.0
2008-07-21,59.333302,61.733299,58.333302,59.716702,45.400341,4867983.0
2008-07-22,59.849998,63.416698,59.083302,63.299999,48.124584,4443300.0
2008-07-23,64.199997,65.666702,62.5,63.900002,48.58075,8965374.0
2008-07-24,64.333298,64.666702,62.666698,63.283298,48.111889,1549035.0
2008-07-25,63.083302,63.9333,61.833302,62.916698,47.833179,1082409.0
2008-07-28,63.5,64.483299,62.5,63.5,48.276638,1670844.0
2008-07-29,61.733299,63.666698,61.333302,63.299999,48.124584,3025320.0
2008-07-30,62.666698,63.833302,61.966702,62.599998,47.5924,2704221.0
2008-07-31,62.333302,63.833302,58.849998,62.599998,47.5924,13240827.0
2008-08-01,61.833302,62.833302,60.9333,62.5667,47.567085,1212405.0
2008-08-04,62.666698,63.283298,61.75,62.633301,47.617718,1085241.0
2008-08-05,62.666698,63.833302,61.666698,63.383301,48.187912,2668485.0
2008-08-06,64.0,64.866699,62.883301,63.283298,48.111889,1673853.0
2008-08-07,63.166698,64.966698,62.383301,63.900002,48.58075,2700615.0
2008-08-08,64.0,64.266701,63.0667,63.5667,48.327347,1380942.0
2008-08-11,64.166702,64.983299,63.400002,64.400002,48.960876,1000629.0
2008-08-12,64.566704,66.099998,64.433296,65.166702,49.54377,3293838.0
2008-08-13,64.333298,65.933296,63.783298,64.933296,49.366322,680088.0
2008-08-14,64.133301,65.199997,63.333302,63.700001,48.428692,727275.0
2008-08-18,63.700001,64.699997,62.233299,62.533298,47.541695,4919976.0
